Y_value,Coefficient Latent,Variance Latent,Coefficient Surrogacy,Variance Surrogacy,Coefficient Oracle,Variance Oracle,sample_G_proposed,n,n_proposed,n_oracle
z_score3,0.14061506306517385,21.519304927774314,0.1400103132205034,21.57722255331843,0.13863013860588758,4.1679318568445165,all,10057,10057,1954
z_score4,0.06349636884691624,13.941757486059126,0.09946263247348816,11.469386031855063,0.0555106434019526,4.175941699959497,all,10057,10057,1954
z_score5,0.07878068957908758,11.882581553762419,0.08968513474895974,9.535599598618198,0.049035739130008346,4.095121148223297,all,10057,10057,1954
z_score6,0.07650965654233911,11.11543794334945,0.08365618453289393,8.264152655736092,0.057947278650361936,3.9754319826621733,all,10057,10057,1954
z_score7,0.03695563949203302,10.421917918841762,0.08003993355837101,7.447207976912911,0.03840269949260511,3.993411570596473,all,10057,10057,1954
z_score8,0.03914105702294957,9.499647926778756,0.07477910133793472,6.423149351790432,0.023320629236222606,3.923708900021855,all,10057,10057,1954
