Y_value,Coefficient Latent,Variance Latent,Coefficient Surrogacy,Variance Surrogacy,Coefficient Oracle,Variance Oracle,sample_G_proposed,n,n_proposed,n_oracle
z_score3,0.14058997532317485,21.583040219206374,0.14004327265814542,21.584501202679444,0.13863013860588758,4.1679318568445165,all,10057,10057,1954
z_score4,0.0643341374904623,13.59482448226946,0.104056463452436,10.924703291744285,0.0555106434019526,4.175941699959497,all,10057,10057,1954
z_score5,0.07844041694973308,11.827429711177619,0.08878718828768153,9.483896047814753,0.049035739130008346,4.095121148223297,all,10057,10057,1954
z_score6,0.08436316806942333,10.512400372997385,0.08890460462625721,7.813892875490361,0.057947278650361936,3.9754319826621733,all,10057,10057,1954
z_score7,0.04218243618677075,9.994591333248245,0.0836600387447098,7.389992942300073,0.03840269949260511,3.993411570596473,all,10057,10057,1954
z_score8,0.04198348488526046,9.24731696516155,0.07346568982669541,6.4963205234613355,0.023320629236222606,3.923708900021855,all,10057,10057,1954
