Outcome,sample_G_proposed,include_V_proposed,Percentile,Theta_Oracle,Variance_Oracle,Lower_CI_Oracle,Upper_CI_Oracle,Theta_Surrogate,Variance_Surrogate,Lower_CI_Surrogate,Upper_CI_Surrogate,Theta_Latent_Unconfounded,Variance_Latent_Unconfounded,Lower_CI_Latent_Unconfounded,Upper_CI_Latent_Unconfounded
z_score3,all,False,5,0.49087694044734487,52.00667437173639,0.17112340658775171,0.810630474306938,0.740979241571709,825.6535454945721,0.17939774349900905,1.302560739644409,0.7436648351811662,824.7946080770431,0.18237552314807892,1.3049541472142536
z_score3,all,False,15,0.027167878121029478,36.08369933708146,-0.23917515369044348,0.29351090993250245,0.04010074206626284,151.28834783577796,-0.20028937337707792,0.2804908575096036,0.03921011746809027,149.6109563307836,-0.19984363509861752,0.2782638700347981
z_score3,all,False,25,0.29768173957892613,20.606502932131885,0.0964076091892421,0.4989558699686102,0.2632394233792815,57.545648190779204,0.11498075021396162,0.41149809654460145,0.2590388317960455,57.5697272240696,0.11074914366892682,0.4073285199231641
z_score3,all,False,35,0.18120757758501224,23.246411079484524,-0.03257079569362875,0.39498595086365323,0.17354897935025124,49.792128733830715,0.03563947015660371,0.3114584885438988,0.1664190641100561,49.54985561740286,0.02884547657150871,0.3039926516486035
z_score3,all,False,45,0.01807033585117096,28.017763223195015,-0.21662396396314845,0.25276463566549034,0.06332536674170361,65.65864185390242,-0.09503985511126359,0.2216905885946708,0.05818082340598822,65.53106867820868,-0.1000304737174413,0.21639212052941775
z_score3,all,False,55,-0.09118234337308449,25.23475499935458,-0.31391574904041303,0.13155106229424407,-0.026064963300489283,71.6438139841607,-0.19149075232751372,0.1393608257265352,-0.03202728114729384,71.76099814648877,-0.19758830419545487,0.1335337419008672
z_score3,all,False,65,-0.1284772921058846,24.614804903068244,-0.3484577036914376,0.09150311947966835,-0.07231488563632561,82.23956739550357,-0.24955183837160527,0.10492206709895406,-0.07452310884161688,81.90836882849563,-0.25140281356157856,0.10235659587834482
z_score3,all,False,75,-0.10916081791617631,26.134970106295356,-0.33583226394304755,0.11751062811069492,-0.08620652994029972,115.21996633662826,-0.2959931268141064,0.12358006693350697,-0.08816208090254339,115.32475908447613,-0.2980440567209542,0.12171989491586739
z_score3,all,False,85,0.08755763275955114,25.724186708500895,-0.13732537325773375,0.31244063877683603,0.0805531618092173,202.17197686848763,-0.1973377506658322,0.3584440742842668,0.0857657128491948,202.29086652744317,-0.19220689616115055,0.3637383218595402
z_score3,all,False,95,0.2934348727403872,48.374819918171454,-0.014951722387099242,0.6018214678678737,0.4193034854135805,851.8867267352447,-0.15112971144830217,0.9897366822754632,0.4448620873507059,855.4432809307602,-0.12676062416874329,1.016484798870155
z_score4,all,False,5,0.4657883454792155,53.348553182931866,0.14193593476057975,0.7896407561978512,0.662589194887649,513.1369085524699,0.2198678178148093,1.1053105719604888,0.6053801234825901,551.2122214767118,0.1465274303437057,1.0642328166214745
z_score4,all,False,15,-0.06898200490926082,35.866447614796876,-0.33452203089908056,0.19655802108055892,0.044642875663769496,94.97497455288166,-0.1458235618791845,0.2351093132067235,0.03552758195526122,107.97143702043623,-0.16755295673054654,0.238608120641069
z_score4,all,False,25,0.1736326005194209,23.647839591631,-0.0419836783849617,0.3892488794238035,0.18822548304856335,39.1901325988193,0.0658759736030417,0.310574992494085,0.16660218808467797,49.103807837535136,0.029649219094806972,0.30355515707454894
z_score4,all,False,35,0.08423597455312447,27.183811743898577,-0.14693909037974928,0.31541103948599825,0.12082191549266123,32.82461464526083,0.008848820089544018,0.23279501089577845,0.10397379608496073,40.087818343823486,-0.0197690432363979,0.22771663540631937
z_score4,all,False,45,0.10731905708881762,28.44012534226694,-0.12913761030851317,0.3437757244861484,0.02331791436382274,40.92415837958723,-0.10170906659094914,0.14834489531859463,0.04770332845150182,49.01332848951608,-0.08912340665445767,0.18453006355746132
z_score4,all,False,55,-0.08978838863864275,27.01819560968104,-0.32025816592317224,0.14068138864588672,-0.04504961296330726,49.24852735940327,-0.1822042484558278,0.09210502252921329,-0.0058502082921564605,57.157937068436404,-0.15360859441829164,0.14190817783397872
z_score4,all,False,65,-0.11878909486341364,23.18511169300366,-0.33228542173449815,0.09470723200767085,-0.08220909584090054,54.52303514746886,-0.22652157178377685,0.06210338010197576,-0.06464746343980503,64.61772985337855,-0.22175235747493466,0.09245743059532462
z_score4,all,False,75,-0.1718368998824321,26.094241366757384,-0.39833165464358566,0.05465785487872146,-0.09467067894571601,77.47287932135157,-0.26669454925217384,0.07735319136074184,-0.1567254022491768,89.48130540515494,-0.3416011832038471,0.028150378705493473
z_score4,all,False,85,-0.14688427248881042,28.507415002893755,-0.3836205042054559,0.08985195922783507,0.057989332118953026,143.8128343377369,-0.17638642542424035,0.2923650896621464,0.023901437869601843,162.98576785953972,-0.2256089937019542,0.27341186944115786
z_score4,all,False,95,0.11558678864584064,51.395801139143515,-0.20228327682480923,0.43345685411649054,0.37786474568168144,611.035850445523,-0.10524657217005484,0.8609760635334177,0.196659610684229,689.1475371186468,-0.31640253153663134,0.7097217529050893
z_score5,all,False,5,0.3939335551659841,72.77160770907523,0.015694128838537824,0.7721729814934304,0.6052799618384511,421.36425096746876,0.20409678844961537,1.0064631352272868,0.7102216957207937,476.3898570172892,0.2836469711324988,1.1367964203090888
z_score5,all,False,15,-0.1128926507366659,42.84160843854709,-0.40310687527670097,0.17732157380336913,0.039632149347524535,77.75259047341545,-0.13270198206395958,0.21196628075900867,0.008059355202660927,90.92646092906305,-0.178303351644966,0.19442206205028786
z_score5,all,False,25,0.10834946424908125,23.70657589137286,-0.1075344215141356,0.3242333500122981,0.1657224177710271,31.76220333776209,0.0555763044945517,0.2758685310475025,0.14412152416699922,42.416156116959115,0.016835851979665667,0.27140719635433275
z_score5,all,False,35,0.03793376829306264,24.48769971530195,-0.1814779440743025,0.2573454806604278,0.10826100194854353,26.73483517780405,0.007207208417612493,0.20931479547947457,0.12445429366095072,33.02930396638851,0.012132617213316543,0.2367759701085849
z_score5,all,False,45,0.008665240724394816,28.86728912219538,-0.22956056928525087,0.2468910507340405,0.023134772444012682,33.462751432316544,-0.08992150711644709,0.13619105200447246,0.08715973902819332,39.516251170634604,-0.03569777818449736,0.21001725624088402
z_score5,all,False,55,-0.044287172642358014,23.449984596468106,-0.2589995557462665,0.17042521046155046,-0.039343848741209095,40.15782848690645,-0.16319469437377082,0.08450699689135262,0.001375494859968766,46.653975721961785,-0.13211741365208227,0.1348684033720198
z_score5,all,False,65,-0.06530362603342127,21.0904326894452,-0.2689274346074204,0.1383201825405779,-0.07352305931791187,44.48579795265353,-0.20387711818949922,0.05683099955367549,-0.04422130452310542,53.19022064652015,-0.18675900950978536,0.09831640046357452
z_score5,all,False,75,-0.11657705060436163,24.765881385545544,-0.3372315083291074,0.10407740712038416,-0.08809971650229648,62.88629723117717,-0.2430855053023954,0.06688607229780244,-0.0863608606867191,74.93734559853509,-0.25554631376983883,0.08282459239640062
z_score5,all,False,85,-0.15369470202959007,25.539166429233887,-0.37776751717133245,0.07037811311215231,0.036637803200121784,116.77735825725152,-0.17456184437061606,0.2478374507708596,0.0008298655264324646,134.47688546152935,-0.2258107218256685,0.22747045287853343
z_score5,all,False,95,0.09810255960247999,53.61716649391118,-0.2265641360083006,0.4227692552132606,0.3253559613341067,502.9360973309241,-0.11294282661412552,0.7636547492823389,0.2124230604768647,595.7297162247867,-0.2645990373840207,0.6894451583377501
z_score6,all,False,5,0.3622063221069931,56.609499375260995,0.028602921924694547,0.6958097222892916,0.5801206409739725,365.90936109467475,0.20626785096676814,0.9539734309811769,0.5251594949479644,435.8160837285679,0.11715448785270438,0.9331645020432244
z_score6,all,False,15,-0.05293598860879876,33.87208150638253,-0.310987706265651,0.20511572904805345,0.03944148016313734,68.62556343160334,-0.12246223984967142,0.2013452001759461,-0.003667270028906121,87.47565726115835,-0.1864593914351488,0.17912485137733655
z_score6,all,False,25,0.13482991077339468,22.91793486614583,-0.07743272448621433,0.34709254603300366,0.15180466323736452,28.194696559078896,0.0480285075771638,0.25558081889756523,0.13971110415826588,39.22720707924025,0.017303736115355794,0.26211847220117596
z_score6,all,False,35,0.07459603736097979,25.556828454833823,-0.1495542449880926,0.2987463197100522,0.09948101709588325,23.88763931349563,0.003959660342841453,0.19500237384892505,0.12052381804193767,31.89813665609868,0.01014225917695269,0.23090537690692264
z_score6,all,False,45,0.0939427394940077,29.580306562845482,-0.1472071940804975,0.33509267306851287,0.017098915977590865,29.215916684962725,-0.08853992426300161,0.12273775621818334,0.05199363188742118,37.93207351633241,-0.068376062466002,0.17236332624084436
z_score6,all,False,55,0.004984694090180912,22.39890278444682,-0.20486057555636472,0.21482996373672653,-0.03933851144783668,35.80744029601635,-0.15628858632205997,0.07761156342638661,-0.0029085963351469252,44.319450451712044,-0.13301870790281597,0.12720151523252213
z_score6,all,False,65,-0.11917523681839826,23.044492973172893,-0.33202314672929795,0.09367267309250144,-0.0756781180088885,39.26731518834685,-0.19814804816282972,0.04679181214505272,-0.04864549721112935,49.87953584262661,-0.18667599928337233,0.08938500486111364
z_score6,all,False,75,-0.12608475220416032,25.08429985638396,-0.3481531724888538,0.09598366808053319,-0.08841405632440119,56.15781321637863,-0.23487403277630428,0.0580459201275019,-0.08952499010832685,67.88103477355206,-0.2505480565914081,0.07149807637475444
z_score6,all,False,85,-0.07218237222835582,27.50241176500102,-0.30470820119946757,0.1603434567427559,0.03020524861045857,104.84460028759759,-0.16991309526095488,0.230323592481872,0.03645469303704751,124.49294034508101,-0.18161043872555055,0.2545198247996456
z_score6,all,False,95,0.12780278777982704,51.001611746845676,-0.1888459504070826,0.44445152596673665,0.30909283489572736,459.5028695323124,-0.10985309916334418,0.7280387689547989,0.2520671589190973,543.3477580579917,-0.20350041613602865,0.7076347339742233
z_score7,all,False,5,0.42699769091292117,61.073478747992894,0.0804905888583099,0.7735047929675325,0.5526645042617351,319.67754782092214,0.20322666315389837,0.9021023453695718,0.47065242234865506,371.0068782451698,0.09420455026666535,0.8471002944306447
z_score7,all,False,15,-0.16898067381928084,33.04277514659759,-0.42385381348283985,0.08589246584427818,0.03846826605030378,60.10554736539467,-0.11305214652834769,0.18998867862895527,-0.04915927278506025,72.64718696299273,-0.21573942979100155,0.11742088422088107
z_score7,all,False,25,0.07133755536098417,21.769075216357678,-0.13553639199907164,0.27821150272104,0.14376554814296363,26.123641385710727,0.043873544895476804,0.24365755139045048,0.1283664629852331,36.68614427369358,0.009990125000843009,0.2467428009696232
z_score7,all,False,35,0.13677639543292225,20.60397612727237,-0.0644853942882809,0.3380381851541254,0.09769104592703858,21.756443609279707,0.006530310809852932,0.18885178104422423,0.09073412748153453,29.65868148499635,-0.015702176686981553,0.1971704316500506
z_score7,all,False,45,0.023422858547504616,27.415768938550666,-0.20873641007144259,0.2555821271664518,0.014827630779913243,26.6255265771292,-0.08601936583966341,0.11567462739948989,-0.009844240729245947,33.906970996676634,-0.1236484598958028,0.1039599784373109
z_score7,all,False,55,-0.12238895816345022,21.79457320921982,-0.32938402520080756,0.08460610887390715,-0.040911638344048366,33.31549390036207,-0.15371888361576705,0.07189560692767033,-0.06600535848116244,41.06417434902902,-0.19124603749157681,0.05923532052925194
z_score7,all,False,65,-0.21849875785760708,24.93261065294832,-0.4398947164450759,0.0028972007298617153,-0.07158227979008153,35.7214453349314,-0.18839183690324574,0.045227277323082696,-0.08280907970056607,46.294814796819956,-0.21578715460561726,0.05016899520448513
z_score7,all,False,75,-0.16304883973696568,24.85040634262091,-0.38407951912249494,0.05798183964856357,-0.08120649497126042,53.04558652507033,-0.2235502747482763,0.06113728480575545,-0.12054296083098574,65.7946294565598,-0.27907209536151556,0.03798617369954409
z_score7,all,False,85,-0.0809991204297012,27.8232061964709,-0.31487713505131826,0.15287889419191586,0.02863576125948114,98.15186374556997,-0.1649900013353716,0.22226152385433387,0.0071601921784284995,118.31654116267688,-0.20542675654365733,0.21974714090051434
z_score7,all,False,95,0.23102947645950409,45.90863469393268,-0.06939339992064789,0.5314523528396561,0.2989413403914675,443.2532974128663,-0.1125302483788384,0.7104129291617735,0.2190948718877786,539.1570388628363,-0.23471245732060936,0.6729022010961665
z_score8,all,False,5,0.2733581867977323,55.72805576289966,-0.05763782211681906,0.6043541957122838,0.4710516956226678,267.6265446089963,0.1513253238405174,0.7907780674048182,0.4632582169851775,318.39404042685186,0.11452257900450058,0.8119938549658544
z_score8,all,False,15,-0.1782446304527768,35.91595379245563,-0.4439678546601239,0.08747859375457032,0.03122679424610316,50.30856908211024,-0.10739606373265256,0.1698496522248589,-0.02625434783108561,64.72805665054551,-0.1834933032738857,0.1309846076117145
z_score8,all,False,25,0.18348145644944208,21.69164627405903,-0.02302425524782087,0.38998716814670503,0.14016462106600944,22.49423776115513,0.0474710729023301,0.23285816922968877,0.0941627739965813,34.38923901892255,-0.020447921711398157,0.20877346970456073
z_score8,all,False,35,0.09072345272195828,19.205246229149516,-0.1035868154381967,0.28503372088211326,0.10099190463735194,18.582996921881435,0.016741548874859666,0.1852422603998442,0.07365072030642929,29.098245238900116,-0.03177516722942146,0.17907660784228002
z_score8,all,False,45,-0.07367379419788116,27.860101373584513,-0.30770682531864524,0.16035923692288295,0.023587007153013477,22.53747831087282,-0.06919559038572806,0.116369604691755,0.030012317133333,32.75684464145129,-0.0818451282002906,0.14186976246695662
z_score8,all,False,55,-0.18866453548054052,23.280836918525644,-0.4026011434469038,0.025272072485822777,-0.02615153042998691,28.928887336189852,-0.13127016984015089,0.07896710898017706,-0.00994791940284948,40.38396890851521,-0.13414699555832427,0.11425115675262532
z_score8,all,False,65,-0.15441257617908044,22.84160788818975,-0.3663214518714333,0.0574962995132724,-0.06231847045681744,30.936842679920588,-0.17102405616813748,0.0463871152545026,-0.04446445941497371,47.08571205262738,-0.178573617830826,0.0896446990008786
z_score8,all,False,75,-0.14404603672766325,26.464675572539658,-0.372142787347363,0.0840507138920365,-0.08175375519441738,46.128892015447846,-0.2144933163767285,0.050985805987893734,-0.10835934997157481,66.49089518359817,-0.26772508713690574,0.05100638719375611
z_score8,all,False,85,0.00794376876573887,28.208424832891573,-0.2275477275289747,0.24343526506045246,0.023034758096317075,86.78135856111518,-0.15903050301521668,0.20510001920785084,-0.012842816867425869,119.5665221068632,-0.22654977584191124,0.20086414210705952
z_score8,all,False,95,0.20282465826517226,45.5019457565827,-0.09626458609647304,0.5019139026268176,0.28843134605259385,398.1821569177467,-0.10155981435218248,0.6784225064573701,0.15793263770007424,509.6902659658121,-0.2832993967948416,0.5991646721949901
