estimator,theta,variance,se,ci_lower,ci_upper,elapsed_seconds
Parametric,0.0057,,,-0.0699,0.0813,
Neural net (joint AGMM2L2),-0.03839628848491262,4.766356566161234,2.1831987005678695,-0.08011921586430043,0.003326638894475202,210.06570320799997
Neural net (sequential AGMM),-0.03357097091217725,3.7185310516273122,1.9283493074718885,-0.0704234929005858,0.0032815510762313066,114.033997166
RKHS (simultaneous ApproxRKHS2IVCV),-0.03504866697821199,1.001108048276473,1.0005538707518316,-0.0541701681396434,-0.015927165816780584,7.382213750000005
RKHS (sequential ApproxRKHSIVCV),-0.04230083612583092,0.9225057475655544,0.9604716276733812,-0.0606563288993267,-0.023945343352335148,2.5702999170000567
