Y_value,Coefficient Latent,Variance Latent,Coefficient Surrogacy,Variance Surrogacy,Coefficient Oracle,Variance Oracle,sample_G_proposed,n,n_proposed,n_oracle
z_score3,0.2033533920332814,16.008822656552173,0.2022135514343538,16.11350733911805,0.19872169523891747,4.78752064459703,all,11600,11600,3497
z_score4,0.14431186076375718,12.68901458111647,0.1521281095297458,10.26026469046617,0.10751308378905688,4.880211370639122,all,11600,11600,3497
z_score5,0.14797381010387578,10.968943869650225,0.135341941527935,8.312283791809394,0.09236069963038282,4.902561502879687,all,11600,11600,3497
z_score6,0.14029647760904182,10.307796607809461,0.12558158735434058,7.318384041602978,0.10330193169862055,4.82413853440656,all,11600,11600,3497
z_score7,0.0929061003004024,9.721735080158483,0.12036132776245158,6.613054898282,0.09270244998512397,4.834779465641004,all,11600,11600,3497
z_score8,0.08280494647295891,9.016598932279102,0.10866664446888143,5.724109179834868,0.08292281343950325,4.799817726805444,all,11600,11600,3497
