Y_value,Coefficient Latent,Variance Latent,Coefficient Surrogacy,Variance Surrogacy,Coefficient Oracle,Variance Oracle,sample_G_proposed,n,n_proposed,n_oracle
z_score3,0.20037384546938955,16.054340557160344,0.2005974730838985,16.033768106311964,0.19872169523891747,4.78752064459703,all,11600,11600,3497
z_score4,0.148748715606869,12.864687613083465,0.1542457691516019,10.383450098543033,0.10751308378905688,4.880211370639122,all,11600,11600,3497
z_score5,0.14731270248840608,11.073217727770816,0.14001964278461618,8.488526302948543,0.09236069963038282,4.902561502879687,all,11600,11600,3497
z_score6,0.1453710366005666,10.529044825343522,0.12857092268962636,7.46518057937136,0.10330193169862055,4.82413853440656,all,11600,11600,3497
z_score7,0.09949895730880734,9.848815082600925,0.12215578785608115,6.800555310405395,0.09270244998512397,4.834779465641004,all,11600,11600,3497
z_score8,0.087556093728397,9.18191560878666,0.11214853116064784,5.901210348158967,0.08292281343950325,4.799817726805444,all,11600,11600,3497
