Outcome,Percentile,Theta_Oracle,Variance_Oracle,Lower_CI_Oracle,Upper_CI_Oracle,Theta_Surrogate,Variance_Surrogate,Lower_CI_Surrogate,Upper_CI_Surrogate,Theta_Latent_Unconfounded,Variance_Latent_Unconfounded,Lower_CI_Latent_Unconfounded,Upper_CI_Latent_Unconfounded
z_score3,5,0.3175816593423001,27.244644405693847,0.08614807408439884,0.5490152446002013,0.7316090576440379,813.2059631016737,0.17427684737625926,1.2889412679118166,0.7400917380139458,820.9592831254689,0.18010895446836095,1.3000745215595306
z_score3,15,0.06972957526970061,17.50523277532889,-0.11578146313517934,0.25524061367458056,0.0456072121200183,140.15450118960706,-0.18576829892414498,0.2769827231641816,0.05246360943348737,142.38060075985882,-0.18074215246443232,0.2856693713314071
z_score3,25,0.1692858235948337,13.115915895988604,0.00870816433906657,0.32986348285060085,0.2537684329020949,54.37326296221823,0.10965430301972545,0.3978825627844643,0.25771708763762075,54.9912932319625,0.11278623989925682,0.40264793537598464
z_score3,35,0.12078135063301851,13.197884235219362,-0.04029729473880783,0.28185999600484485,0.16329914390773032,48.43651115818272,0.02727991991260345,0.29931836790285715,0.17095967696822498,48.58816131593143,0.03472768768565146,0.3071916662507985
z_score3,45,0.019439871036554035,15.382270216187765,-0.15445870645318704,0.19333844852629511,0.054088190780817745,63.476080611396604,-0.10162267427951263,0.20979905584114814,0.05763123176647466,63.658856178653494,-0.09830365219625778,0.2135661157292071
z_score3,55,-0.07561943035798828,15.965365526534908,-0.25278333539065706,0.10154447467468049,-0.031231906943559696,67.68328654292307,-0.19202025948442314,0.12955644559730373,-0.026825375086181946,67.58931726763261,-0.1875020721974153,0.13385132202505143
z_score3,65,-0.12133997159908815,16.28080084007933,-0.30024547205588964,0.05756552885771336,-0.07184299276236267,78.78367247139983,-0.24531602772513766,0.10163004220041233,-0.0669164087823688,78.353544814256,-0.23991524858791619,0.10608243102317856
z_score3,75,-0.05169286254597753,17.71318970333094,-0.23830255547929718,0.13491683038734215,-0.0904288770558238,115.47926627832487,-0.30045140127487846,0.11959364716323088,-0.08836026759128587,114.74273879285597,-0.29771195796456085,0.12099142278198913
z_score3,85,0.1666515196340503,18.950322056180642,-0.026364834881295984,0.3596678741493966,0.08371301712022292,197.82449852495208,-0.19117379368724072,0.3585998279276865,0.07523726218330003,194.02663883284302,-0.19699810542304896,0.347472629789649
z_score3,95,0.3591279559772787,40.40819312305867,0.0772763414701973,0.6409795704843602,0.38964070340149426,843.223368568808,-0.17788453900278844,0.957165945805777,0.3811276094385371,822.7757005130708,-0.1794743281109884,0.9417295469880625
z_score4,5,0.2960033947891796,26.457765681829958,0.06793642398877259,0.5240703655895866,0.6368831502265382,507.0377622094166,0.19680073185790875,1.0769655685951676,0.6092034519667254,550.926018314953,0.15046989818804107,1.0679370057454098
z_score4,15,-0.02026545085631779,16.99963385355547,-0.2030778276393798,0.16254692592674422,0.05897720495035117,89.2222423854958,-0.1256307592032634,0.24358516910396572,0.04529110898456143,101.90988298969398,-0.152006588716182,0.24258880668530486
z_score4,25,0.07160251985728494,14.712242348100556,-0.09846651474439755,0.24167155445896743,0.190053226676557,36.95466142181622,0.07124446214279519,0.3088619912103188,0.16228161686053516,47.521081022211476,0.027553877796777315,0.297009355924293
z_score4,35,0.07178397042619718,15.720760999079467,-0.10401753671166473,0.24758547756405908,0.12759822737174445,32.32268166819296,0.016484540423906638,0.23871191431958227,0.10601013509948427,38.98763144891708,-0.01602286604586467,0.22804313624483322
z_score4,45,0.04540536306868041,16.554561442140205,-0.13499800913220034,0.22580873526956113,0.02528952312685814,40.65591572357118,-0.09932703146603257,0.14990607771974884,0.04625079276509857,47.4490926866766,-0.08837486001000038,0.1808764455401975
z_score4,55,-0.05196232343158882,16.353942319314683,-0.23126923993186901,0.12734459306869136,-0.04317577142721527,47.55370569213965,-0.1779497499049258,0.09159820705049526,-0.010360346019496258,54.821323939547504,-0.15506704138351998,0.13434634934452747
z_score4,65,-0.12710129303473225,15.966333920889568,-0.3042705710080855,0.050067984938620996,-0.0720050965042963,52.89110259529743,-0.21414145223868275,0.07013125923009013,-0.06489611591226942,61.14354966871757,-0.21771928096787235,0.08792704914333353
z_score4,75,-0.13676471777070306,17.373473865780657,-0.3215762824688104,0.048046846927404296,-0.09018327724343068,75.62123997522107,-0.26013898839803073,0.07977243391116938,-0.1528244323302057,85.99015492830165,-0.3340578296708767,0.028408965010465276
z_score4,85,-0.041464358906009975,19.710617169829174,-0.23831458719873336,0.15538586938671342,0.037995236381789636,138.7649960172397,-0.19223047825760098,0.26822095102118026,0.010689229397882489,156.21808818161693,-0.2335860536750849,0.2549645124708499
z_score4,95,0.14842780904858358,39.058087924059286,-0.1286752375821951,0.4255308556793622,0.29008950354500485,586.4238233251378,-0.18319214875103756,0.7633711558410472,0.1451843049405569,651.5499569335504,-0.3536860834683647,0.6440546933494785
z_score5,5,0.23544549175160917,32.30070610495926,-0.0165494477411538,0.48744043124437214,0.5965791541391601,413.4436156999125,0.1991845087735386,0.9939737995047815,0.6995094800517301,473.88923475399355,0.27405579711932965,1.1249631629841306
z_score5,15,-0.07566664044541598,20.418360433162732,-0.2760198224476648,0.12468654155683286,0.05109136594383169,72.74605688697353,-0.11560210699548541,0.2177848388831488,0.014328641913979707,85.33147401598228,-0.166209301039107,0.1948665848670664
z_score5,25,0.013447956952603876,14.478558979551142,-0.15526501707848836,0.1821609309836961,0.16566023804024266,30.085506855964034,0.05846079419674301,0.2728596818837423,0.14010821901466186,40.17525953612129,0.016230496730048186,0.26398594129927555
z_score5,35,0.009490036890291691,14.268088420834076,-0.15799218251559688,0.17697225629618024,0.1138248138002398,25.79549523263059,0.014562178502818213,0.2130874490976614,0.1275162123362826,32.08731074915541,0.016807824612367128,0.23822460006019808
z_score5,45,-0.0063563517524711476,15.853731253392702,-0.18289978061472567,0.17018707710978337,0.023102557930774904,32.3750780287871,-0.08810115241570579,0.1343062682772556,0.08980760142707285,37.79420944706867,-0.03034315206553212,0.20995835491967782
