Y_value,Coefficient Latent,Variance Latent,Coefficient Surrogacy,Variance Surrogacy,Coefficient Oracle,Variance Oracle,sample_G_proposed,n,n_proposed,n_oracle
z_score3,0.14218899869409796,21.59527047343657,0.13997528647203908,21.605416254707432,0.13863013860588758,4.1679318568445165,all,10057,10057,1954
z_score4,0.10613923327034472,17.037648447225873,0.11531429406483909,14.526600347935602,0.0555106434019526,4.175941699959497,all,10057,10057,1954
z_score5,0.10778842492925887,14.191693872040478,0.10219951752073712,11.875357251122116,0.049035739130008346,4.095121148223297,all,10057,10057,1954
z_score6,0.11121922054374364,13.293035093136618,0.09708026956618372,10.496602266690077,0.057947278650361936,3.9754319826621733,all,10057,10057,1954
z_score7,0.06480653108984291,12.560354345388,0.0896207735126375,9.690645403407382,0.03840269949260511,3.993411570596473,all,10057,10057,1954
z_score8,0.05791230604018766,11.462249922627258,0.08215350616581252,8.40112724313864,0.023320629236222606,3.923708900021855,all,10057,10057,1954
