Outcome,sample_G_proposed,include_V_proposed,Percentile,Theta_Oracle,Variance_Oracle,Lower_CI_Oracle,Upper_CI_Oracle,Theta_Surrogate,Variance_Surrogate,Lower_CI_Surrogate,Upper_CI_Surrogate,Theta_Latent_Unconfounded,Variance_Latent_Unconfounded,Lower_CI_Latent_Unconfounded,Upper_CI_Latent_Unconfounded
z_score3,all,False,5,0.49087694044734487,52.00667437173639,0.17112340658775171,0.810630474306938,0.7460601090091025,820.7388382494706,0.18615251410310618,1.3059677039150988,0.7452862733491935,818.5414860947791,0.1861286970133309,1.3044438496850561
z_score3,all,False,15,0.027167878121029478,36.08369933708146,-0.23917515369044348,0.29351090993250245,0.03786827588850746,149.3351795719914,-0.20096505205593118,0.2767016038329461,0.0381113324904501,148.92264441408832,-0.20039188139829073,0.2766145463791909
z_score3,all,False,25,0.29768173957892613,20.606502932131885,0.0964076091892421,0.4989558699686102,0.2574226736836367,57.312282304438014,0.10946492392485746,0.4053804234424159,0.25736174896105235,57.15646462553569,0.10960526604555618,0.4051182318765485
z_score3,all,False,35,0.18120757758501224,23.246411079484524,-0.03257079569362875,0.39498595086365323,0.16615071670110995,49.38193826372285,0.028810435568689258,0.3034909978335306,0.16610150999771253,49.24631359899181,0.028949957144721872,0.3032530628507032
z_score3,all,False,45,0.01807033585117096,28.017763223195015,-0.21662396396314845,0.25276463566549034,0.05810130542247419,65.37841744355671,-0.09992561174616316,0.21612822259111153,0.05812298187047261,65.19663932316111,-0.09968409339749718,0.21593005713844238
z_score3,all,False,55,-0.09118234337308449,25.23475499935458,-0.31391574904041303,0.13155106229424407,-0.03132807323895666,71.29584834509691,-0.19635164642197073,0.13369549994405744,-0.0312186757592821,71.09783983451106,-0.1960129313038649,0.13357557978530069
z_score3,all,False,65,-0.1284772921058846,24.614804903068244,-0.3484577036914376,0.09150311947966835,-0.0749921850819296,81.41423208137151,-0.2513375428045459,0.1013531726406867,-0.07474610807701931,81.19957115091022,-0.2508588317576321,0.10136661560359345
z_score3,all,False,75,-0.10916081791617631,26.134970106295356,-0.33583226394304755,0.11751062811069492,-0.08872849152143257,114.87875675988951,-0.298204229646035,0.12074724660316984,-0.08838790347249573,114.582390745928,-0.2975932627093378,0.12081745576434633
z_score3,all,False,85,0.08755763275955114,25.724186708500895,-0.13732537325773375,0.31244063877683603,0.08672351525294611,201.2573566994116,-0.1905380994635186,0.3639851299694108,0.08710975295466403,200.72158859906065,-0.18978256613606606,0.36400207204539414
z_score3,all,False,95,0.2934348727403872,48.374819918171454,-0.014951722387099242,0.6018214678678737,0.427663658366916,852.6095696600688,-0.1430114991666508,0.9983388159004828,0.43106230343194535,850.4134396685001,-0.13887741495443923,1.00100202181833
z_score4,all,False,5,0.4657883454792155,53.348553182931866,0.14193593476057975,0.7896407561978512,0.5836781545707591,419.9030597582441,0.18319118928834505,0.9841651198531731,0.535402477123577,458.0624904963739,0.11711368213455842,0.9536912721125956
z_score4,all,False,15,-0.06898200490926082,35.866447614796876,-0.33452203089908056,0.19655802108055892,0.04858913421155572,76.84154320661183,-0.12273238033058287,0.21991064875369432,0.0112435588027763,91.52013993986027,-0.1757265598799064,0.198213677485459
z_score4,all,False,25,0.1736326005194209,23.647839591631,-0.0419836783849617,0.3892488794238035,0.18134015761738742,30.27446629721388,0.07380459445311557,0.28887572078165924,0.1285114527732732,40.91132366217503,0.0035040789633877245,0.25351882658315866
z_score4,all,False,35,0.08423597455312447,27.183811743898577,-0.14693909037974928,0.31541103948599825,0.11023318851388793,26.065088207698107,0.010453196362101763,0.2100131806656741,0.06305384651907976,32.945980489646026,-0.04912606274809045,0.17523375578624997
z_score4,all,False,45,0.10731905708881762,28.44012534226694,-0.12913761030851317,0.3437757244861484,0.022884044069755496,34.00307330167863,-0.09108133825681695,0.13684942639632794,0.0214917428566585,40.78338887365104,-0.10332002112019811,0.14630350683351512
z_score4,all,False,55,-0.08978838863864275,27.01819560968104,-0.32025816592317224,0.14068138864588672,-0.042830551794670685,38.00216663666285,-0.1633114079255667,0.07765030433622531,-0.027852172623890906,44.02241409659739,-0.15752554133700758,0.10182119608922578
z_score4,all,False,65,-0.11878909486341364,23.18511169300366,-0.33228542173449815,0.09470723200767085,-0.07456874609920042,43.07249979227315,-0.2028354411482356,0.05369794894983476,-0.0750658528504313,50.37466403714964,-0.21377974168516167,0.06364803598429908
z_score4,all,False,75,-0.1718368998824321,26.094241366757384,-0.39833165464358566,0.05465785487872146,-0.0785526725798118,62.09617115593049,-0.23256173507692612,0.07545638991730252,-0.13907723323397403,71.89942696876992,-0.3047978650955596,0.026643398627611586
z_score4,all,False,85,-0.14688427248881042,28.507415002893755,-0.3836205042054559,0.08985195922783507,0.05792862558510861,109.52406310186147,-0.14660684737206092,0.26246409854227815,0.033137265790754065,127.19114353741337,-0.18727832065975103,0.2535528522412592
z_score4,all,False,95,0.11558678864584064,51.395801139143515,-0.20228327682480923,0.43345685411649054,0.3135166949049807,485.1405847115515,-0.11695804232722579,0.7439914321371872,0.05263774954891136,588.5133239473623,-0.4214863335288015,0.5267618326266242
z_score5,all,False,5,0.3939335551659841,72.77160770907523,0.015694128838537824,0.7721729814934304,0.5546029550386058,346.288308060858,0.19091176563851403,0.9182941444386976,0.6461352838850682,410.3329698342683,0.25023840977509837,1.0420321579950382
z_score5,all,False,15,-0.1128926507366659,42.84160843854709,-0.40310687527670097,0.17732157380336913,0.04162530078501876,63.60121360383755,-0.11423896830629314,0.19748956987633065,-0.0005479118697062737,79.36231780008927,-0.17465683823598407,0.17356101449657155
z_score5,all,False,25,0.10834946424908125,23.70657589137286,-0.1075344215141356,0.3242333500122981,0.15809768014519449,25.070649475842522,0.06023960739055639,0.2559557528998326,0.11364527513296961,36.037173187085045,-0.0036793632760511313,0.23096991354199037
z_score5,all,False,35,0.03793376829306264,24.48769971530195,-0.1814779440743025,0.2573454806604278,0.09640279376951641,21.510328622729034,0.00575914305247012,0.1870464444865627,0.09003960139647044,28.040858875679096,-0.01345305201292031,0.19353225480586117
z_score5,all,False,45,0.008665240724394816,28.86728912219538,-0.22956056928525087,0.2468910507340405,0.019761181555666415,28.102153117684455,-0.08384452190338017,0.123366885014713,0.06348786666899743,33.89890590350245,-0.050302816988635604,0.17727855032663048
z_score5,all,False,55,-0.044287172642358014,23.449984596468106,-0.2589995557462665,0.17042521046155046,-0.03974064400367089,31.857235646758806,-0.15005141244313547,0.07057012443579368,-0.02104495532153497,37.04927272806669,-0.1400057097070665,0.09791579906399654
z_score5,all,False,65,-0.06530362603342127,21.0904326894452,-0.2689274346074204,0.1383201825405779,-0.07025346217565558,35.77311975069718,-0.18714747673737836,0.04664055238606721,-0.050543373228539065,42.80705301985945,-0.17841421709317962,0.0773274706361015
z_score5,all,False,75,-0.11657705060436163,24.765881385545544,-0.3372315083291074,0.10407740712038416,-0.07688494427703366,51.31897871534948,-0.2168929496501854,0.0631230610961181,-0.06972517204249261,61.33009930836741,-0.22278129212144865,0.08333094803646342
z_score5,all,False,85,-0.15369470202959007,25.539166429233887,-0.37776751717133245,0.07037811311215231,0.04537761785336293,91.88470116556685,-0.14196451900683194,0.23271975471355782,0.00216949198845569,106.14261029514824,-0.1991838062164682,0.2035227901933796
z_score5,all,False,95,0.09810255960247999,53.61716649391118,-0.2265641360083006,0.4227692552132606,0.2831346331053422,410.14307112043974,-0.11267062149931178,0.6789398877099961,0.08721077271980483,503.7241147690842,-0.3514312515805972,0.5258527970202068
